;#10. HRI Efficiency_SN10_V1
;
;  HRI End-to-end Response V1
;  Defined with transmittance and reflectance values from files #1. #2. #3. #5 (SN10 filter)
;  Including a grid factor value of 0.81 for each filter
;  HRI Detector response included (file #8)
;
;Lambda (nm)	HRI Optical Efficiency*Detector_SN10
70.4	3.40E-04
70.5	3.42E-04
70.6	3.38E-04
70.7	3.36E-04
70.8	3.35E-04
70.9	3.30E-04
71	3.29E-04
71.1	3.28E-04
71.2	3.23E-04
71.3	3.19E-04
71.4	3.17E-04
71.5	3.13E-04
71.6	3.08E-04
71.7	3.06E-04
71.8	3.02E-04
71.9	2.99E-04
72	2.96E-04
72.1	2.93E-04
72.2	2.89E-04
72.3	2.86E-04
72.4	2.83E-04
72.5	2.80E-04
72.6	2.77E-04
72.7	2.73E-04
72.8	2.70E-04
72.9	2.67E-04
73	2.64E-04
73.1	2.61E-04
73.2	2.57E-04
73.3	2.54E-04
73.4	2.51E-04
73.5	2.48E-04
73.6	2.44E-04
73.7	2.40E-04
73.8	2.36E-04
73.9	2.32E-04
74	2.28E-04
74.1	2.24E-04
74.2	2.20E-04
74.3	2.15E-04
74.4	2.10E-04
74.5	2.05E-04
74.6	2.00E-04
74.7	1.95E-04
74.8	1.90E-04
74.9	1.85E-04
75	1.80E-04
75.1	1.75E-04
75.2	1.70E-04
75.3	1.65E-04
75.4	1.61E-04
75.5	1.56E-04
75.6	1.52E-04
75.7	1.48E-04
75.8	1.44E-04
75.9	1.40E-04
76	1.36E-04
76.1	1.32E-04
76.2	1.29E-04
76.3	1.25E-04
76.4	1.21E-04
76.5	1.18E-04
76.6	1.14E-04
76.7	1.11E-04
76.8	1.08E-04
76.9	1.05E-04
77	1.02E-04
77.1	9.87E-05
77.2	9.59E-05
77.3	9.28E-05
77.4	9.00E-05
77.5	8.73E-05
77.6	8.48E-05
77.7	8.23E-05
77.8	7.98E-05
77.9	7.74E-05
78	7.50E-05
78.1	7.28E-05
78.2	7.04E-05
78.3	6.80E-05
78.4	6.58E-05
78.5	6.37E-05
78.6	6.18E-05
78.7	6.00E-05
78.8	5.81E-05
78.9	5.63E-05
79	5.45E-05
79.1	5.27E-05
79.2	5.07E-05
79.3	4.86E-05
79.4	4.64E-05
79.5	4.44E-05
79.6	4.24E-05
79.7	4.05E-05
79.8	3.85E-05
79.9	3.66E-05
80	3.49E-05
80.1	3.32E-05
80.2	3.15E-05
80.3	2.94E-05
80.4	2.75E-05
80.5	2.52E-05
80.6	2.29E-05
80.7	2.07E-05
80.8	1.85E-05
80.9	1.65E-05
81	1.47E-05
81.1	1.31E-05
81.2	1.15E-05
81.3	1.01E-05
81.4	8.88E-06
81.5	7.75E-06
81.6	6.71E-06
81.7	5.75E-06
81.8	4.88E-06
81.9	4.09E-06
82	3.40E-06
82.1	2.82E-06
82.2	2.30E-06
82.3	1.88E-06
82.4	1.51E-06
82.5	1.23E-06
82.6	9.80E-07
82.7	7.77E-07
82.8	6.22E-07
82.9	4.83E-07
83	3.81E-07
83.1	2.94E-07
83.2	2.23E-07
83.3	1.71E-07
83.4	1.25E-07
83.5	9.49E-08
83.6	6.94E-08
83.7	5.04E-08
83.8	3.68E-08
83.9	2.52E-08
84	1.86E-08
84.1	1.28E-08
84.2	8.95E-09
84.3	6.37E-09
84.4	4.30E-09
84.5	3.25E-09
84.6	2.33E-09
84.7	1.72E-09
84.8	1.27E-09
84.9	9.11E-10
85	6.80E-10
85.1	4.81E-10
85.2	3.48E-10
85.3	2.50E-10
85.4	1.72E-10
85.5	3.76E-10
85.6	2.59E-10
85.7	1.99E-10
85.8	1.56E-10
85.9	1.26E-10
86	1.13E-10
86.1	1.01E-10
86.2	9.04E-11
86.3	8.06E-11
86.4	7.18E-11
86.5	6.42E-11
86.6	5.68E-11
86.7	5.09E-11
86.8	4.51E-11
86.9	4.02E-11
87	3.61E-11
87.1	3.22E-11
87.2	2.97E-11
87.3	2.73E-11
87.4	2.52E-11
87.5	2.34E-11
87.6	2.17E-11
87.7	2.02E-11
87.8	1.87E-11
87.9	1.73E-11
88	1.60E-11
88.1	1.48E-11
88.2	1.38E-11
88.3	1.27E-11
88.4	1.18E-11
88.5	1.09E-11
88.6	1.01E-11
88.7	9.36E-12
88.8	8.64E-12
88.9	8.01E-12
89	7.42E-12
89.1	6.85E-12
89.2	6.35E-12
89.3	5.85E-12
89.4	5.41E-12
89.5	5.01E-12
89.6	4.64E-12
89.7	4.27E-12
89.8	3.94E-12
89.9	3.64E-12
90	3.36E-12
90.1	3.12E-12
90.2	2.91E-12
90.3	2.69E-12
90.4	2.50E-12
90.5	2.33E-12
90.6	2.17E-12
90.7	2.00E-12
90.8	1.87E-12
90.9	1.73E-12
91	1.61E-12
91.1	1.49E-12
91.2	1.39E-12
91.3	1.29E-12
91.4	1.20E-12
91.5	1.12E-12
91.6	1.04E-12
91.7	9.69E-13
91.8	9.06E-13
91.9	8.41E-13
92	7.84E-13
92.1	7.28E-13
92.2	6.75E-13
92.3	6.25E-13
92.4	5.82E-13
92.5	5.37E-13
92.6	5.00E-13
92.7	4.63E-13
92.8	4.30E-13
92.9	4.03E-13
93	3.74E-13
93.1	3.54E-13
93.2	3.34E-13
93.3	3.14E-13
93.4	2.98E-13
93.5	2.81E-13
93.6	2.66E-13
93.7	2.50E-13
93.8	2.38E-13
93.9	2.23E-13
94	2.11E-13
94.1	2.00E-13
94.2	1.89E-13
94.3	1.78E-13
94.4	1.69E-13
94.5	1.59E-13
94.6	1.50E-13
94.7	1.42E-13
94.8	1.34E-13
94.9	1.27E-13
95	1.20E-13
95.1	1.13E-13
95.2	1.07E-13
95.3	1.01E-13
95.4	9.54E-14
95.5	8.98E-14
95.6	8.47E-14
95.7	7.96E-14
95.8	7.51E-14
95.9	7.07E-14
96	6.66E-14
96.1	6.27E-14
96.2	5.90E-14
96.3	5.56E-14
96.4	5.23E-14
96.5	4.92E-14
96.6	4.63E-14
96.7	4.35E-14
96.8	4.10E-14
96.9	3.85E-14
97	3.63E-14
97.1	3.41E-14
97.2	3.21E-14
97.3	3.02E-14
97.4	2.85E-14
97.5	2.69E-14
97.6	2.53E-14
97.7	2.39E-14
97.8	2.26E-14
97.9	2.13E-14
98	2.02E-14
